date,CC,dr_ada,dr_bat,dr_bch,dr_bnb,dr_bsv,dr_btc,dr_dash,dr_eos,dr_etc,dr_eth,dr_ltc,dr_miota,dr_mkr,dr_neo,dr_okb,dr_ont,dr_trx,dr_usdt,dr_vet,dr_xem,dr_xlm,dr_xmr,dr_xrp,dr_xtz,dr_zec
2018-01-14,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
